18	20	25	23	10	11	24	14	06	02	13	09	05	16	03
23	15	05	04	12	16	20	06	11	19	24	01	09	13	07
20	23	12	08	06	01	07	11	14	04	16	10	09	17	24
16	05	25	24	23	08	12	02	17	18	01	10	04	19	13
15	13	20	02	11	24	09	16	04	23	25	12	08	19	01
23	19	01	05	07	21	16	10	15	25	06	02	12	04	17
22	04	15	08	16	14	21	23	12	01	25	19	07	10	18
19	16	18	09	13	08	05	25	17	10	06	15	01	22	20
21	04	17	05	03	13	16	09	20	24	25	19	11	15	10
24	19	08	23	06	02	20	11	09	03	04	10	05	12	14
24	09	08	19	20	22	06	10	11	16	07	25	23	02	12
11	05	25	01	09	08	16	04	07	24	17	02	12	14	10
13	06	10	05	08	14	03	11	16	15	09	17	19	07	23
14	21	13	19	20	06	09	05	07	23	18	01	15	02	25
23	06	21	04	10	24	16	01	15	02	08	19	12	18	25
24	17	05	08	07	12	13	02	15	10	19	25	23	21	06
13	20	17	01	06	07	02	14	05	09	16	19	03	21	18
02	23	10	07	11	14	17	22	15	06	24	08	19	20	18
15	17	10	23	11	24	13	14	06	02	08	05	20	16	07	
04	09	08	24	16	20	03	17	18	19	07	06	23	14	10
